STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TEMP_DIFF,LABEL
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-01,0.17,0.0,0.0,64.0,53.0,,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-02,0.0,0.0,0.0,61.0,48.0,-3.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-03,0.0,0.0,0.0,68.0,46.0,7.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-04,0.0,0.0,0.0,61.0,49.0,-7.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-05,0.03,0.0,0.0,69.0,52.0,8.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-06,0.0,0.0,0.0,68.0,44.0,-1.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-07,0.0,0.0,0.0,63.0,42.0,-5.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-08,0.0,0.0,0.0,63.0,44.0,0.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-09,0.02,0.0,0.0,66.0,46.0,3.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-10,0.07,0.0,0.0,69.0,52.0,3.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-11,0.0,0.0,0.0,63.0,45.0,-6.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-12,0.0,0.0,0.0,63.0,42.0,0.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-13,0.0,0.0,0.0,59.0,41.0,-4.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-14,0.07,0.0,0.0,55.0,42.0,-4.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-15,0.0,0.0,0.0,61.0,44.0,6.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-16,0.0,0.0,0.0,72.0,56.0,11.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-17,0.0,0.0,0.0,68.0,50.0,-4.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-18,0.0,0.0,0.0,66.0,48.0,-2.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-19,0.0,0.0,0.0,62.0,41.0,-4.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-20,0.0,0.0,0.0,66.0,47.0,4.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-21,0.0,0.0,0.0,68.0,45.0,2.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-22,0.0,0.0,0.0,69.0,35.0,1.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-23,0.0,0.0,0.0,68.0,51.0,-1.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-24,0.0,0.0,0.0,74.0,50.0,6.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-25,0.0,0.0,0.0,74.0,45.0,0.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-26,0.0,0.0,0.0,73.0,54.0,-1.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-27,0.0,0.0,0.0,68.0,42.0,-5.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-28,0.0,0.0,0.0,73.0,40.0,5.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-29,0.0,0.0,0.0,68.0,42.0,-5.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-30,0.0,0.0,0.0,64.0,48.0,-4.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-31,0.0,0.0,0.0,65.0,46.0,1.0,0
