STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TAVG,TEMP_GRADIENT,LABEL
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-02,0.0,0.0,0.0,61.0,48.0,54.5,13.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-03,0.0,0.0,0.0,68.0,46.0,57.0,22.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-04,0.0,0.0,0.0,61.0,49.0,55.0,12.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-05,0.03,0.0,0.0,69.0,52.0,60.5,17.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-06,0.0,0.0,0.0,68.0,44.0,56.0,24.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-07,0.0,0.0,0.0,63.0,42.0,52.5,21.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-08,0.0,0.0,0.0,63.0,44.0,53.5,19.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-09,0.02,0.0,0.0,66.0,46.0,56.0,20.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-10,0.07,0.0,0.0,69.0,52.0,60.5,17.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-11,0.0,0.0,0.0,63.0,45.0,54.0,18.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-12,0.0,0.0,0.0,63.0,42.0,52.5,21.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-01-13,0.0,0.0,0.0,59.0,41.0,50.0,18.0,0
